reward,reward,reward,reward,reward,reward,reward,reward,reward,reward,reward
-1470.931912,-1487.361549,-1516.042995,-1887.223035,-1388.074573,-1226.325101,-1622.673514,-1693.931477,-1478.542906,-1621.376851,-1282.754868
-1333.401871,-1648.888967,-1282.410306,-1542.445766,-1890.932143,-1480.70251,-1493.880444,-1555.239454,-1539.514347,-1463.075484,-1281.885153
-1186.345647,-1636.14324,-1523.603989,-2088.098044,-1444.957322,-1384.161018,-2012.594562,-1534.88973,-1783.516198,-1525.199718,-1361.769141
-1298.971011,-1489.324117,-1391.61583,-1605.584129,-1515.889787,-1471.555441,-1591.54386,-1730.520379,-1388.555596,-1877.368744,-1454.466151
-1228.410772,-1432.977002,-1730.926943,-1648.206458,-1558.529494,-1517.219237,-1361.798606,-1519.552847,-1239.581556,-1506.958031,-2252.103007
-1560.704223,-1562.84271,-1825.929724,-1241.337713,-1336.925263,-1493.663815,-1210.845342,-2035.972604,-2287.699107,-1482.05346,-1660.610277
-1175.805637,-1265.932898,-1426.621276,-1207.084132,-1326.109579,-1630.565634,-1670.416085,-1710.570976,-1370.860508,-2363.878411,-1698.528594
-1485.625336,-1561.797411,-1357.902816,-1722.269887,-1777.638174,-1385.89565,-1276.93566,-1895.277213,-1719.103519,-1742.4701,-1403.739056
-1783.618537,-1303.09032,-1625.320205,-1747.501212,-1771.074577,-1594.096403,-1463.440395,-1694.781894,-1322.840026,-1601.706646,-1665.216059
-1520.030552,-1598.089588,-1375.29321,-1537.163187,-1259.506328,-1720.368676,-1459.111442,-1844.581674,-1771.609818,-1301.180395,-1440.234945
-1483.2356,-1540.807877,-1466.965766,-1447.651623,-1643.281631,-1564.308319,-1392.868763,-1807.416282,-1451.575968,-1476.450027,-1552.577497
-1497.853881,-1741.203924,-1860.815743,-1737.512682,-1608.777103,-1233.578247,-1447.561168,-1469.527366,-1510.76944,-1423.008003,-1550.222801
-1921.596363,-1277.251786,-1686.545204,-1325.211826,-1835.300447,-1994.567224,-1266.06875,-1329.15714,-1363.654947,-1377.860126,-1279.110922
